Criterio,Puente
Vertebrado,es [columna_criterio]
Domestico,es [columna_criterio]
Mitologico,es [columna_criterio]
Acuatico,es [columna_criterio]
Terrestre,es [columna_criterio]
Volador,es [columna_criterio]
Anemona,vive en una [columna_criterio]
Antenas,tiene [columna_criterio]
Antifaz,usa [columna_criterio]
Aplaude,[columna_criterio]
Arrastra,se [columna_criterio]
Artico,vive en el [columna_criterio]
Astas,tiene [columna_criterio]
Aulla,[columna_criterio]
Bambu,se alimenta de [columna_criterio]
Basura,vive/busca entre la [columna_criterio]
Blanco,es [columna_criterio]
Blanco y Negro,es [columna_criterio]
Boxeador,parece [columna_criterio]
Cabalgar,se puede [columna_criterio]
Cafe,es [columna_criterio]
Camufla,se [columna_criterio]
Canino,se [columna_criterio]
Caparazon,tiene [columna_criterio]
Cardumenes,ataca en [columna_criterio]
Carronero,es [columna_criterio]
Colonia,vive en una [columna_criterio]
Colorido,es [columna_criterio]
Construye,[columna_criterio]
Cuello,destaca por su [columna_criterio]
Cuerno,tiene un [columna_criterio]
Cuernos,tiene [columna_criterio]
Desierto,vive en el [columna_criterio]
Dientes,tiene [columna_criterio]
Electricidad,produce [columna_criterio]
Embarazo masculino,tiene [columna_criterio]
Escala,[columna_criterio]
Eucalipto,se alimenta de [columna_criterio]
Felino,es un [columna_criterio]
Fuego,lanza [columna_criterio]
Galopa,[columna_criterio]
Granja,vive en [columna_criterio]
Grazna,[columna_criterio]
Gris,es [columna_criterio]
Hiberna,[columna_criterio]
Imitar,puede [columna_criterio]
Inteligencia,destaca por su [columna_criterio]
Joroba,tiene [columna_criterio]
Ladra,[columna_criterio]
Lana,produce [columna_criterio]
Leche,produce [columna_criterio]
Manchas,tiene [columna_criterio]
Mandibula,destaca por su [columna_criterio]
Maulla,[columna_criterio]
Melena,tiene [columna_criterio]
Mensajera,es [columna_criterio]
Miel,produce [columna_criterio]
Migra,[columna_criterio]
Naranja,es [columna_criterio]
Negro,es [columna_criterio]
Nocturno,es [columna_criterio]
Nombre de marca,se usa como [columna_criterio]
Orejas grandes,tiene [columna_criterio]
Pantano,vive en el [columna_criterio]
Pico,destaca por su [columna_criterio]
Plano,es [columna_criterio]
Polen,se alimenta de [columna_criterio]
Puas,tiene [columna_criterio]
Pulgares,tiene [columna_criterio]
Rayas,tiene [columna_criterio]
Regenera,se [columna_criterio]
Rio,vive en el [columna_criterio]
Roedor,es un [columna_criterio]
Rojo,es [columna_criterio]
Rosado,es [columna_criterio]
Sabana,vive en la [columna_criterio]
Salta,[columna_criterio]
Selva,vive en la [columna_criterio]
Shrek,tiene orejas como [columna_criterio]
Smokin,usa [columna_criterio]
Subterraneo,es [columna_criterio]
Telarana,produce [columna_criterio]
Tenazas,tiene [columna_criterio]
Tentaculos,tiene [columna_criterio]
Tinta,expulsa [columna_criterio]
Trompa,tiene [columna_criterio]
Velocidad,destaca por su [columna_criterio]
Venenoso,es [columna_criterio]
Verde,es [columna_criterio]
Bifida,tiene la lengua [columna_criterio]
Vision,destaca por su [columna_criterio]
Zumba,[columna_criterio]
Ave,es un [columna_criterio]
Crustaceo,es un [columna_criterio]
Insecto,es un [columna_criterio]
Mamifero,es un [columna_criterio]
Molusco,es un [columna_criterio]
Pez,es un [columna_criterio]
Reptil,es un [columna_criterio]
Ovoviviparo,es [columna_criterio]
Viviparo,es [columna_criterio]
Mediano,es [columna_criterio]
Muy grande,es [columna_criterio]
Muy pequeno,es [columna_criterio]
Pequeno,es [columna_criterio]
Herviboro,es [columna_criterio]
Omnivoro,es [columna_criterio]
2,tiene [columna_criterio] patas
4,tiene [columna_criterio] patas
6,tiene [columna_criterio] patas
8,tiene [columna_criterio] patas
10,tiene [columna_criterio] patas
1000,tiene mas de 10 patas
Exoesqueleto,tiene [columna_criterio] 
Pelaje,tiene [columna_criterio]
Piel desnuda,tiene [columna_criterio] 
Plumas,tiene [columna_criterio] 
