Vertebrado,Clasificacion,Locomocion1,Locomocion2,Locomocion3,Animal,Tamano,Dieta,Reproduccion,Patas,Piel,Domestico,Mitologico,Caracteristica,Caracteristica2,Caracteristica3,Caracteristica4,Caracteristica5
1,Mamifero,Acuatico,None,None,Ballena,Muy grande,Carnivoro,Viviparo,0,Piel desnuda,0,0,Migra,Gris,None,None,None
1,Mamifero,Terrestre,None,None,Jirafa,Muy grande,Herviboro,Viviparo,4,Pelaje,0,0,Cuello,Manchas,Cuernos,Sabana,None
1,Mamifero,Terrestre,None,None,Elefante,Muy grande,Herviboro,Viviparo,4,Piel desnuda,0,0,Trompa,Sabana,Orejas grandes,Gris,None
1,Mamifero,Terrestre,None,None,Leon,Grande,Carnivoro,Viviparo,4,Pelaje,0,0,Melena,Sabana,Felino,None,None
1,Mamifero,Terrestre,None,None,Tigre,Grande,Carnivoro,Viviparo,4,Pelaje,0,0,Rayas,Selva,Sabana,Felino,None
1,Mamifero,Terrestre,None,None,Puma,Grande,Carnivoro,Viviparo,4,Pelaje,0,0,Nombre de marca,Felino,None,None,None
1,Mamifero,Terrestre,Acuatico,None,Oso Polar,Grande,Carnivoro,Viviparo,4,Pelaje,0,0,Blanco,Artico,None,None,None
1,Mamifero,Terrestre,None,None,Jaguar,Grande,Carnivoro,Viviparo,4,Pelaje,0,0,Manchas,Felino,None,None,None
1,Mamifero,Terrestre,None,None,Lobo,Grande,Carnivoro,Viviparo,4,Pelaje,0,0,Aulla,Canino,None,None,None
1,Mamifero,Terrestre,None,None,Pantera,Grande,Carnivoro,Viviparo,4,Pelaje,0,0,Negro,Felino,Selva,None,None
1,Mamifero,Terrestre,None,None,Burro,Grande,Herviboro,Viviparo,4,Pelaje,1,0,Orejas grandes,Granja,None,None,None
1,Mamifero,Terrestre,None,None,Canguro,Grande,Herviboro,Viviparo,4,Pelaje,0,0,Boxeador,Salta,None,None,None
1,Mamifero,Terrestre,None,None,Caballo,Grande,Herviboro,Viviparo,4,Pelaje,1,0,Cabalgar,Galopa,Granja,Cafe,None
1,Mamifero,Terrestre,None,None,Cebra,Grande,Herviboro,Viviparo,4,Pelaje,0,0,Rayas,Blanco y Negro,Sabana,Blanco,Negro
1,Mamifero,Terrestre,None,None,Vaca,Grande,Herviboro,Viviparo,4,Pelaje,1,0,Granja,Leche,Cuernos,None,None
1,Mamifero,Terrestre,None,None,Camello,Grande,Herviboro,Viviparo,4,Pelaje,1,0,Joroba,Desierto,None,None,None
1,Mamifero,Terrestre,None,None,Toro,Grande,Herviboro,Viviparo,4,Pelaje,1,0,Cuernos,Granja,None,None,None
